t,value
1574455529,3866624
1574455530,3997696
1574455531,4259840
1574455532,4325376
1574455533,4390912
1574455534,4521984
1574455535,4587520
1574455536,4718592
1574455537,4718592
1574455538,6160384
1574455539,6815744
1574455540,7864320
1574455541,7864320
1574455542,7864320
1574455543,7995392
1574455544,7995392
1574455545,7995392
1574455546,8126464
1574455547,8126464
1574455548,8126464
1574455549,8126464
1574455550,8781824
1574455551,9109504
1574455552,9175040
1574455553,9240576
1574455554,9437184
1574455555,9895936
1574455556,9895936
1574455557,9895936
1574455558,9895936
1574455559,9895936
1574455560,9895936
1574455561,9895936
1574455562,9895936
1574455563,9895936
1574455564,9895936
1574455565,9895936
1574455566,9895936
1574455567,9895936
1574455568,9895936
1574455569,9895936
1574455570,10027008
1574455571,10027008
1574455572,10027008
1574455573,10027008
1574455574,10027008
1574455575,10027008
1574455576,10027008
1574455577,10027008
1574455578,10027008
1574455579,10027008
1574455580,10027008
1574455581,10027008
1574455582,10027008
1574455583,10027008
1574455584,10027008
1574455585,10027008
1574455586,10027008
1574455587,10027008
1574455588,10027008
1574455589,10027008
1574455590,10027008
1574455591,10027008
1574455592,10027008
1574455593,10027008
1574455594,10027008
1574455595,10027008
1574455596,10027008
1574455597,10027008
1574455598,10027008
1574455599,10027008
1574455600,10027008
1574455601,10027008
1574455602,10027008
1574455603,10027008
1574455604,10027008
1574455605,10027008
1574455606,10027008
1574455607,10027008
1574455608,10027008
1574455609,10027008
1574455610,10027008
1574455611,10027008
1574455612,10027008
1574455613,10027008
1574455614,10027008
1574455615,10027008
1574455616,10027008
1574455617,10027008
1574455618,10027008
1574455619,10027008
1574455620,10027008
1574455621,10027008
1574455622,10027008
1574455623,10027008
1574455624,10027008
1574455625,10027008
1574455626,10027008
1574455627,10027008
1574455628,10027008
1574455629,10027008
1574455630,10027008
1574455631,10027008
1574455632,10027008
1574455633,10027008
1574455634,10027008
1574455635,10027008
1574455636,10027008
1574455637,10027008
1574455638,10027008
1574455639,10027008
1574455640,10027008
1574455641,10027008
1574455642,10027008
1574455643,10027008
1574455644,10027008
1574455645,10027008
1574455646,10027008
1574455647,10027008
1574455648,10027008
1574455649,10027008
1574455650,10027008
1574455651,10027008
1574455652,10027008
1574455653,10027008
1574455654,10027008
1574455655,10027008
1574455656,10027008
1574455657,10027008
1574455658,10027008
1574455659,10027008
1574455660,10027008
1574455661,10027008
1574455662,10027008
1574455663,10027008
1574455664,10027008
1574455665,10027008
1574455666,10027008
1574455667,10027008
1574455668,10027008
1574455669,10027008
1574455670,10027008
1574455671,10027008
1574455672,10027008
1574455673,10027008
1574455674,10027008
1574455675,10027008
1574455676,10027008
1574455677,10027008
1574455678,10027008
1574455679,10027008
1574455680,10027008
1574455681,10027008
1574455682,10027008
1574455683,10027008
1574455684,10027008
1574455685,10027008
1574455686,10027008
1574455687,10027008
1574455688,10027008
1574455689,10027008
1574455690,10027008
1574455691,10027008
1574455692,10027008
1574455693,10027008
1574455694,10027008
1574455695,10027008
1574455696,10027008
1574455697,10027008
1574455698,10027008
1574455699,10027008
1574455700,10027008
1574455701,10027008
1574455702,10027008
1574455703,10027008
1574455704,10027008
1574455705,10027008
1574455706,10027008
1574455707,10027008
1574455708,10027008
1574455709,10027008
1574455710,10027008
1574455711,10027008
1574455712,10027008
1574455713,10027008
1574455714,10027008
1574455715,10027008
1574455716,10027008
1574455717,10027008
1574455718,10027008
1574455719,10027008
1574455720,10027008
1574455721,10027008
1574455722,10027008
1574455723,10027008
1574455724,10027008
1574455725,10027008
1574455726,10027008
1574455727,10027008
1574455728,10027008
1574455729,10027008
1574455730,10027008
1574455731,10027008
1574455732,10027008
1574455733,10027008
1574455734,10027008
1574455735,10027008
1574455736,10027008
1574455737,10027008
1574455738,10027008
1574455739,10027008
1574455740,10027008
1574455741,10027008
1574455742,10027008
1574455743,10027008
1574455744,10027008
1574455745,10027008
1574455746,10027008
1574455747,10027008
1574455748,10027008
1574455749,10027008
1574455750,10027008
1574455751,10027008
1574455752,10027008
1574455753,10027008
1574455754,10027008
1574455755,10027008
1574455756,10027008
1574455757,10027008
1574455758,10027008
1574455759,10027008
1574455760,10027008
1574455761,10027008
1574455762,10027008
1574455763,10027008
