t,value
1574455529,251658240
1574455530,251658240
1574455531,251658240
1574455532,251658240
1574455533,251658240
1574455534,251658240
1574455535,251658240
1574455536,251658240
1574455537,251658240
1574455538,251658240
1574455539,251658240
1574455540,251658240
1574455541,251658240
1574455542,251658240
1574455543,251658240
1574455544,251658240
1574455545,251658240
1574455546,251658240
1574455547,251658240
1574455548,251658240
1574455549,251658240
1574455550,251658240
1574455551,251658240
1574455552,251658240
1574455553,251658240
1574455554,251658240
1574455555,251658240
1574455556,251658240
1574455557,251658240
1574455558,251658240
1574455559,251658240
1574455560,251658240
1574455561,251658240
1574455562,251658240
1574455563,251658240
1574455564,251658240
1574455565,251658240
1574455566,251658240
1574455567,251658240
1574455568,251658240
1574455569,251658240
1574455570,251658240
1574455571,251658240
1574455572,251658240
1574455573,251658240
1574455574,251658240
1574455575,251658240
1574455576,251658240
1574455577,251658240
1574455578,251658240
1574455579,251658240
1574455580,251658240
1574455581,251658240
1574455582,251658240
1574455583,251658240
1574455584,251658240
1574455585,251658240
1574455586,251658240
1574455587,251658240
1574455588,251658240
1574455589,251658240
1574455590,251658240
1574455591,251658240
1574455592,251658240
1574455593,251658240
1574455594,251658240
1574455595,251658240
1574455596,251658240
1574455597,251658240
1574455598,251658240
1574455599,251658240
1574455600,251658240
1574455601,251658240
1574455602,251658240
1574455603,251658240
1574455604,251658240
1574455605,251658240
1574455606,251658240
1574455607,251658240
1574455608,251658240
1574455609,251658240
1574455610,251658240
1574455611,251658240
1574455612,251658240
1574455613,251658240
1574455614,251658240
1574455615,251658240
1574455616,251658240
1574455617,251658240
1574455618,251658240
1574455619,251658240
1574455620,251658240
1574455621,251658240
1574455622,251658240
1574455623,251658240
1574455624,251658240
1574455625,251658240
1574455626,251658240
1574455627,251658240
1574455628,251658240
1574455629,251658240
1574455630,251658240
1574455631,251658240
1574455632,251658240
1574455633,251658240
1574455634,251658240
1574455635,251658240
1574455636,251658240
1574455637,251658240
1574455638,251658240
1574455639,251658240
1574455640,251658240
1574455641,251658240
1574455642,251658240
1574455643,251658240
1574455644,251658240
1574455645,251658240
1574455646,251658240
1574455647,251658240
1574455648,251658240
1574455649,251658240
1574455650,251658240
1574455651,251658240
1574455652,251658240
1574455653,251658240
1574455654,251658240
1574455655,251658240
1574455656,251658240
1574455657,251658240
1574455658,251658240
1574455659,251658240
1574455660,251658240
1574455661,251658240
1574455662,251658240
1574455663,251658240
1574455664,251658240
1574455665,251658240
1574455666,251658240
1574455667,251658240
1574455668,251658240
1574455669,251658240
1574455670,251658240
1574455671,251658240
1574455672,251658240
1574455673,251658240
1574455674,251658240
1574455675,251658240
1574455676,251658240
1574455677,251658240
1574455678,251658240
1574455679,251658240
1574455680,251658240
1574455681,251658240
1574455682,251658240
1574455683,251658240
1574455684,251658240
1574455685,251658240
1574455686,251658240
1574455687,251658240
1574455688,251658240
1574455689,251658240
1574455690,251658240
1574455691,251658240
1574455692,251658240
1574455693,251658240
1574455694,251658240
1574455695,251658240
1574455696,251658240
1574455697,251658240
1574455698,251658240
1574455699,251658240
1574455700,251658240
1574455701,251658240
1574455702,251658240
1574455703,251658240
1574455704,251658240
1574455705,251658240
1574455706,251658240
1574455707,251658240
1574455708,251658240
1574455709,251658240
1574455710,251658240
1574455711,251658240
1574455712,251658240
1574455713,251658240
1574455714,251658240
1574455715,251658240
1574455716,251658240
1574455717,251658240
1574455718,251658240
1574455719,251658240
1574455720,251658240
1574455721,251658240
1574455722,251658240
1574455723,251658240
1574455724,251658240
1574455725,251658240
1574455726,251658240
1574455727,251658240
1574455728,251658240
1574455729,251658240
1574455730,251658240
1574455731,251658240
1574455732,251658240
1574455733,251658240
1574455734,251658240
1574455735,251658240
1574455736,251658240
1574455737,251658240
1574455738,251658240
1574455739,251658240
1574455740,251658240
1574455741,251658240
1574455742,251658240
1574455743,251658240
1574455744,251658240
1574455745,251658240
1574455746,251658240
1574455747,251658240
1574455748,251658240
1574455749,251658240
1574455750,251658240
1574455751,251658240
1574455752,251658240
1574455753,251658240
1574455754,251658240
1574455755,251658240
1574455756,251658240
1574455757,251658240
1574455758,251658240
1574455759,251658240
1574455760,251658240
1574455761,251658240
1574455762,251658240
1574455763,251658240
