t,value
1574455529,3849664
1574455530,3988608
1574455531,4256960
1574455532,4312128
1574455533,4395264
1574455534,4494656
1574455535,4541504
1574455536,4636672
1574455537,4641600
1574455538,6122368
1574455539,6767424
1574455540,7740160
1574455541,7775552
1574455542,7802048
1574455543,7890880
1574455544,7892608
1574455545,7900224
1574455546,8013824
1574455547,8015936
1574455548,8047360
1574455549,8028544
1574455550,8697408
1574455551,9008832
1574455552,9080384
1574455553,9219968
1574455554,9297216
1574455555,9763264
1574455556,9564160
1574455557,9588352
1574455558,9570240
1574455559,9152512
1574455560,9176128
1574455561,9186368
1574455562,9189312
1574455563,9196800
1574455564,9210560
1574455565,9224832
1574455566,9319680
1574455567,9324288
1574455568,9326848
1574455569,9326848
1574455570,9064128
1574455571,9064128
1574455572,8886592
1574455573,8886592
1574455574,8887616
1574455575,8909248
1574455576,8911680
1574455577,8910016
1574455578,8910016
1574455579,8909248
1574455580,8907136
1574455581,8907136
1574455582,8906368
1574455583,8906368
1574455584,8898560
1574455585,8900800
1574455586,8869120
1574455587,8870656
1574455588,8871488
1574455589,8871488
1574455590,8878336
1574455591,8890432
1574455592,8891264
1574455593,8891264
1574455594,8888064
1574455595,8888064
1574455596,8888064
1574455597,8888064
1574455598,8888064
1574455599,8888064
1574455600,8888064
1574455601,8890240
1574455602,8890240
1574455603,8891904
1574455604,8897344
1574455605,8897344
1574455606,8897344
1574455607,8860992
1574455608,8850240
1574455609,8850240
1574455610,8850240
1574455611,8850240
1574455612,8856256
1574455613,8849728
1574455614,8844480
1574455615,8840064
1574455616,8840064
1574455617,8840064
1574455618,8593728
1574455619,8594368
1574455620,8600192
1574455621,8609280
1574455622,8625472
1574455623,8628672
1574455624,8745216
1574455625,8754496
1574455626,8754496
1574455627,8755264
1574455628,8758784
1574455629,8757184
1574455630,8757184
1574455631,8757184
1574455632,8757184
1574455633,8757184
1574455634,8758592
1574455635,8745280
1574455636,8751040
1574455637,8751040
1574455638,8751040
1574455639,8741440
1574455640,8741440
1574455641,8741440
1574455642,8741440
1574455643,8741440
1574455644,8741440
1574455645,8735936
1574455646,8735936
1574455647,8735936
1574455648,8737664
1574455649,8738432
1574455650,8738432
1574455651,8740160
1574455652,8740160
1574455653,8740992
1574455654,8753152
1574455655,8762688
1574455656,8463552
1574455657,8494976
1574455658,8496832
1574455659,8496832
1574455660,8499200
1574455661,8499200
1574455662,8499200
1574455663,8499200
1574455664,8506176
1574455665,8506176
1574455666,8506176
1574455667,8508608
1574455668,8508608
1574455669,8508608
1574455670,8508608
1574455671,8508608
1574455672,8508608
1574455673,8508608
1574455674,8508608
1574455675,8508608
1574455676,8508608
1574455677,8508608
1574455678,8508608
1574455679,8508608
1574455680,8508608
1574455681,8509312
1574455682,8509312
1574455683,8510016
1574455684,8459136
1574455685,8457408
1574455686,8457408
1574455687,8457408
1574455688,8457408
1574455689,8457408
1574455690,8457408
1574455691,8457408
1574455692,8463744
1574455693,8463744
1574455694,8463744
1574455695,8463744
1574455696,8463744
1574455697,8464896
1574455698,8464896
1574455699,8466752
1574455700,8472320
1574455701,8472320
1574455702,8472320
1574455703,8472320
1574455704,8472320
1574455705,8472320
1574455706,8474304
1574455707,8471168
1574455708,8471168
1574455709,8471168
1574455710,8471168
1574455711,8471168
1574455712,8472064
1574455713,8472064
1574455714,8472064
1574455715,8474112
1574455716,8474112
1574455717,8474112
1574455718,8474112
1574455719,8474112
1574455720,8482816
1574455721,8483776
1574455722,8483776
1574455723,8483776
1574455724,8483776
1574455725,8483776
1574455726,8483776
1574455727,8483776
1574455728,8483776
1574455729,8489984
1574455730,8493632
1574455731,8493632
1574455732,8493632
1574455733,8487296
1574455734,8487296
1574455735,8487296
1574455736,8472704
1574455737,8472704
1574455738,8472704
1574455739,8472512
1574455740,8472512
1574455741,8472512
1574455742,8474688
1574455743,8474688
1574455744,8474688
1574455745,8474688
1574455746,8474688
1574455747,8474688
1574455748,8474688
1574455749,8474688
1574455750,8474688
1574455751,8474688
1574455752,8474688
1574455753,8474688
1574455754,8474688
1574455755,8474688
1574455756,8474688
1574455757,8474688
1574455758,8474688
1574455759,8474688
1574455760,8474688
1574455761,8474688
1574455762,8474688
1574455763,8910400
