t,value
1574455529,1073741824
1574455530,1073741824
1574455531,1073741824
1574455532,1073741824
1574455533,1073741824
1574455534,1073741824
1574455535,1073741824
1574455536,1073741824
1574455537,1073741824
1574455538,1073741824
1574455539,1073741824
1574455540,1073741824
1574455541,1073741824
1574455542,1073741824
1574455543,1073741824
1574455544,1073741824
1574455545,1073741824
1574455546,1073741824
1574455547,1073741824
1574455548,1073741824
1574455549,1073741824
1574455550,1073741824
1574455551,1073741824
1574455552,1073741824
1574455553,1073741824
1574455554,1073741824
1574455555,1073741824
1574455556,1073741824
1574455557,1073741824
1574455558,1073741824
1574455559,1073741824
1574455560,1073741824
1574455561,1073741824
1574455562,1073741824
1574455563,1073741824
1574455564,1073741824
1574455565,1073741824
1574455566,1073741824
1574455567,1073741824
1574455568,1073741824
1574455569,1073741824
1574455570,1073741824
1574455571,1073741824
1574455572,1073741824
1574455573,1073741824
1574455574,1073741824
1574455575,1073741824
1574455576,1073741824
1574455577,1073741824
1574455578,1073741824
1574455579,1073741824
1574455580,1073741824
1574455581,1073741824
1574455582,1073741824
1574455583,1073741824
1574455584,1073741824
1574455585,1073741824
1574455586,1073741824
1574455587,1073741824
1574455588,1073741824
1574455589,1073741824
1574455590,1073741824
1574455591,1073741824
1574455592,1073741824
1574455593,1073741824
1574455594,1073741824
1574455595,1073741824
1574455596,1073741824
1574455597,1073741824
1574455598,1073741824
1574455599,1073741824
1574455600,1073741824
1574455601,1073741824
1574455602,1073741824
1574455603,1073741824
1574455604,1073741824
1574455605,1073741824
1574455606,1073741824
1574455607,1073741824
1574455608,1073741824
1574455609,1073741824
1574455610,1073741824
1574455611,1073741824
1574455612,1073741824
1574455613,1073741824
1574455614,1073741824
1574455615,1073741824
1574455616,1073741824
1574455617,1073741824
1574455618,1073741824
1574455619,1073741824
1574455620,1073741824
1574455621,1073741824
1574455622,1073741824
1574455623,1073741824
1574455624,1073741824
1574455625,1073741824
1574455626,1073741824
1574455627,1073741824
1574455628,1073741824
1574455629,1073741824
1574455630,1073741824
1574455631,1073741824
1574455632,1073741824
1574455633,1073741824
1574455634,1073741824
1574455635,1073741824
1574455636,1073741824
1574455637,1073741824
1574455638,1073741824
1574455639,1073741824
1574455640,1073741824
1574455641,1073741824
1574455642,1073741824
1574455643,1073741824
1574455644,1073741824
1574455645,1073741824
1574455646,1073741824
1574455647,1073741824
1574455648,1073741824
1574455649,1073741824
1574455650,1073741824
1574455651,1073741824
1574455652,1073741824
1574455653,1073741824
1574455654,1073741824
1574455655,1073741824
1574455656,1073741824
1574455657,1073741824
1574455658,1073741824
1574455659,1073741824
1574455660,1073741824
1574455661,1073741824
1574455662,1073741824
1574455663,1073741824
1574455664,1073741824
1574455665,1073741824
1574455666,1073741824
1574455667,1073741824
1574455668,1073741824
1574455669,1073741824
1574455670,1073741824
1574455671,1073741824
1574455672,1073741824
1574455673,1073741824
1574455674,1073741824
1574455675,1073741824
1574455676,1073741824
1574455677,1073741824
1574455678,1073741824
1574455679,1073741824
1574455680,1073741824
1574455681,1073741824
1574455682,1073741824
1574455683,1073741824
1574455684,1073741824
1574455685,1073741824
1574455686,1073741824
1574455687,1073741824
1574455688,1073741824
1574455689,1073741824
1574455690,1073741824
1574455691,1073741824
1574455692,1073741824
1574455693,1073741824
1574455694,1073741824
1574455695,1073741824
1574455696,1073741824
1574455697,1073741824
1574455698,1073741824
1574455699,1073741824
1574455700,1073741824
1574455701,1073741824
1574455702,1073741824
1574455703,1073741824
1574455704,1073741824
1574455705,1073741824
1574455706,1073741824
1574455707,1073741824
1574455708,1073741824
1574455709,1073741824
1574455710,1073741824
1574455711,1073741824
1574455712,1073741824
1574455713,1073741824
1574455714,1073741824
1574455715,1073741824
1574455716,1073741824
1574455717,1073741824
1574455718,1073741824
1574455719,1073741824
1574455720,1073741824
1574455721,1073741824
1574455722,1073741824
1574455723,1073741824
1574455724,1073741824
1574455725,1073741824
1574455726,1073741824
1574455727,1073741824
1574455728,1073741824
1574455729,1073741824
1574455730,1073741824
1574455731,1073741824
1574455732,1073741824
1574455733,1073741824
1574455734,1073741824
1574455735,1073741824
1574455736,1073741824
1574455737,1073741824
1574455738,1073741824
1574455739,1073741824
1574455740,1073741824
1574455741,1073741824
1574455742,1073741824
1574455743,1073741824
1574455744,1073741824
1574455745,1073741824
1574455746,1073741824
1574455747,1073741824
1574455748,1073741824
1574455749,1073741824
1574455750,1073741824
1574455751,1073741824
1574455752,1073741824
1574455753,1073741824
1574455754,1073741824
1574455755,1073741824
1574455756,1073741824
1574455757,1073741824
1574455758,1073741824
1574455759,1073741824
1574455760,1073741824
1574455761,1073741824
1574455762,1073741824
1574455763,1073741824
