t,value
1574455529,7118336
1574455530,7193952
1574455531,7269944
1574455532,7285160
1574455533,7326496
1574455534,7329432
1574455535,7332424
1574455536,7347296
1574455537,7347656
1574455538,14491792
1574455539,21091072
1574455540,21215528
1574455541,21248272
1574455542,21251176
1574455543,21264800
1574455544,21274968
1574455545,21276168
1574455546,21276168
1574455547,21276168
1574455548,21285640
1574455549,21287920
1574455550,21440176
1574455551,21486056
1574455552,21486344
1574455553,21486344
1574455554,21486344
1574455555,21486664
1574455556,21486960
1574455557,21493608
1574455558,21493952
1574455559,21493984
1574455560,21493984
1574455561,21496656
1574455562,21496656
1574455563,21496656
1574455564,21496656
1574455565,21496656
1574455566,21496656
1574455567,21496656
1574455568,21496656
1574455569,21496656
1574455570,21496944
1574455571,21496944
1574455572,21503552
1574455573,21503552
1574455574,21503552
1574455575,21503552
1574455576,21504320
1574455577,21504320
1574455578,21504320
1574455579,21506008
1574455580,21509864
1574455581,21509864
1574455582,21510152
1574455583,21510152
1574455584,21510152
1574455585,21510152
1574455586,21510152
1574455587,21511600
1574455588,21511992
1574455589,21511992
1574455590,21511992
1574455591,21512280
1574455592,21512280
1574455593,21512280
1574455594,21512280
1574455595,21512280
1574455596,21512280
1574455597,21512280
1574455598,21512504
1574455599,21512504
1574455600,21512504
1574455601,21513200
1574455602,21513200
1574455603,21513712
1574455604,21513712
1574455605,21513712
1574455606,21513712
1574455607,21513712
1574455608,21514640
1574455609,21514640
1574455610,21514640
1574455611,21514640
1574455612,21518232
1574455613,21518536
1574455614,21519496
1574455615,21520280
1574455616,21520280
1574455617,21520280
1574455618,21520280
1574455619,21520280
1574455620,21520280
1574455621,21520280
1574455622,21520280
1574455623,21520280
1574455624,21521088
1574455625,21521088
1574455626,21521088
1574455627,21521088
1574455628,21521368
1574455629,21521368
1574455630,21521368
1574455631,21521368
1574455632,21521368
1574455633,21521368
1574455634,21521368
1574455635,21531336
1574455636,21535200
1574455637,21535200
1574455638,21535200
1574455639,21535920
1574455640,21535920
1574455641,21535920
1574455642,21535920
1574455643,21535920
1574455644,21535920
1574455645,21536680
1574455646,21536680
1574455647,21536680
1574455648,21537056
1574455649,21537344
1574455650,21537344
1574455651,21538072
1574455652,21538072
1574455653,21538376
1574455654,21538376
1574455655,21538376
1574455656,21542288
1574455657,21549496
1574455658,21549496
1574455659,21549496
1574455660,21550120
1574455661,21550120
1574455662,21550120
1574455663,21550120
1574455664,21550120
1574455665,21550120
1574455666,21550120
1574455667,21550120
1574455668,21550120
1574455669,21550120
1574455670,21550120
1574455671,21550120
1574455672,21550120
1574455673,21550120
1574455674,21550120
1574455675,21550120
1574455676,21550120
1574455677,21550120
1574455678,21550120
1574455679,21550120
1574455680,21550120
1574455681,21550120
1574455682,21550120
1574455683,21550120
1574455684,21550120
1574455685,21550120
1574455686,21550120
1574455687,21550120
1574455688,21550120
1574455689,21550120
1574455690,21550120
1574455691,21550120
1574455692,21550120
1574455693,21550120
1574455694,21550120
1574455695,21550120
1574455696,21550120
1574455697,21550120
1574455698,21550120
1574455699,21550120
1574455700,21550120
1574455701,21550120
1574455702,21550120
1574455703,21550120
1574455704,21550120
1574455705,21550120
1574455706,21551072
1574455707,21551416
1574455708,21551416
1574455709,21551416
1574455710,21551416
1574455711,21551416
1574455712,21551416
1574455713,21551416
1574455714,21551416
1574455715,21551416
1574455716,21551416
1574455717,21551416
1574455718,21551416
1574455719,21551416
1574455720,21551416
1574455721,21551416
1574455722,21551416
1574455723,21551416
1574455724,21551512
1574455725,21551512
1574455726,21551512
1574455727,21551512
1574455728,21551512
1574455729,21551512
1574455730,21551800
1574455731,21551800
1574455732,21551800
1574455733,21551800
1574455734,21551800
1574455735,21551800
1574455736,21551800
1574455737,21551800
1574455738,21551800
1574455739,21551800
1574455740,21551800
1574455741,21551800
1574455742,21552176
1574455743,21552176
1574455744,21552176
1574455745,21552176
1574455746,21552176
1574455747,21552176
1574455748,21552176
1574455749,21552176
1574455750,21552176
1574455751,21552176
1574455752,21552176
1574455753,21552176
1574455754,21552176
1574455755,21552176
1574455756,21552176
1574455757,21552176
1574455758,21552176
1574455759,21552176
1574455760,21552176
1574455761,21552176
1574455762,21552176
