t,value
1574455529,132120576
1574455530,132120576
1574455531,132120576
1574455532,132120576
1574455533,132120576
1574455534,132120576
1574455535,132120576
1574455536,132120576
1574455537,132120576
1574455538,132120576
1574455539,132120576
1574455540,132120576
1574455541,132120576
1574455542,132120576
1574455543,132120576
1574455544,132120576
1574455545,132120576
1574455546,132120576
1574455547,132120576
1574455548,132120576
1574455549,228065280
1574455550,228065280
1574455551,228065280
1574455552,228065280
1574455553,314048512
1574455554,314048512
1574455555,314048512
1574455556,314048512
1574455557,314048512
1574455558,314048512
1574455559,314048512
1574455560,362283008
1574455561,362283008
1574455562,362283008
1574455563,362283008
1574455564,362283008
1574455565,362283008
1574455566,362283008
1574455567,398458880
1574455568,398458880
1574455569,398458880
1574455570,398458880
1574455571,398458880
1574455572,398458880
1574455573,423624704
1574455574,423624704
1574455575,423624704
1574455576,423624704
1574455577,423624704
1574455578,440401920
1574455579,440401920
1574455580,440401920
1574455581,440401920
1574455582,440401920
1574455583,448266240
1574455584,448266240
1574455585,448266240
1574455586,448266240
1574455587,448266240
1574455588,454033408
1574455589,454033408
1574455590,454033408
1574455591,454033408
1574455592,458752000
1574455593,458752000
1574455594,458752000
1574455595,458752000
1574455596,462422016
1574455597,462422016
1574455598,462422016
1574455599,462422016
1574455600,465567744
1574455601,465567744
1574455602,465567744
1574455603,465567744
1574455604,468189184
1574455605,468189184
1574455606,468189184
1574455607,470810624
1574455608,470810624
1574455609,470810624
1574455610,470810624
1574455611,473432064
1574455612,473432064
1574455613,473432064
1574455614,476053504
1574455615,476053504
1574455616,476053504
1574455617,478150656
1574455618,478150656
1574455619,478150656
1574455620,480772096
1574455621,480772096
1574455622,480772096
1574455623,483393536
1574455624,483393536
1574455625,483393536
1574455626,486014976
1574455627,486014976
1574455628,486014976
1574455629,488636416
1574455630,488636416
1574455631,491257856
1574455632,491257856
1574455633,491257856
1574455634,493879296
1574455635,493879296
1574455636,496500736
1574455637,496500736
1574455638,496500736
1574455639,499122176
1574455640,499122176
1574455641,502267904
1574455642,502267904
1574455643,502267904
1574455644,505413632
1574455645,505413632
1574455646,508035072
1574455647,508035072
1574455648,508035072
1574455649,511180800
1574455650,511180800
1574455651,514326528
1574455652,514326528
1574455653,517472256
1574455654,517472256
1574455655,520617984
1574455656,520617984
1574455657,520617984
1574455658,523763712
1574455659,523763712
1574455660,526909440
1574455661,526909440
1574455662,530055168
1574455663,530055168
1574455664,533200896
1574455665,533200896
1574455666,536346624
1574455667,536346624
1574455668,540016640
1574455669,540016640
1574455670,543162368
1574455671,543162368
1574455672,546308096
1574455673,546308096
1574455674,546308096
1574455675,549453824
1574455676,552599552
1574455677,552599552
1574455678,556269568
1574455679,556269568
1574455680,559939584
1574455681,559939584
1574455682,563609600
1574455683,563609600
1574455684,567279616
1574455685,567279616
1574455686,570949632
1574455687,570949632
1574455688,574619648
1574455689,574619648
1574455690,578289664
1574455691,578289664
1574455692,581959680
1574455693,581959680
1574455694,585629696
1574455695,585629696
1574455696,589299712
1574455697,589299712
1574455698,593494016
1574455699,593494016
1574455700,597688320
1574455701,601882624
1574455702,601882624
1574455703,606076928
1574455704,606076928
1574455705,609746944
1574455706,609746944
1574455707,613416960
1574455708,613416960
1574455709,617611264
1574455710,617611264
1574455711,621805568
1574455712,621805568
1574455713,625999872
1574455714,625999872
1574455715,630194176
1574455716,634388480
1574455717,634388480
1574455718,638582784
1574455719,638582784
1574455720,642252800
1574455721,642252800
1574455722,646971392
1574455723,646971392
1574455724,651689984
1574455725,651689984
1574455726,655884288
1574455727,655884288
1574455728,660078592
1574455729,660078592
1574455730,664272896
1574455731,668467200
1574455732,668467200
1574455733,672661504
1574455734,672661504
1574455735,675807232
1574455736,675807232
1574455737,680001536
1574455738,680001536
1574455739,683671552
1574455740,683671552
1574455741,687341568
1574455742,687341568
1574455743,691011584
1574455744,691011584
1574455745,695205888
1574455746,695205888
1574455747,699400192
1574455748,699400192
1574455749,703070208
1574455750,703070208
1574455751,706740224
1574455752,706740224
1574455753,710410240
1574455754,710410240
1574455755,714604544
1574455756,714604544
1574455757,714604544
1574455758,718798848
1574455759,718798848
1574455760,722993152
1574455761,722993152
1574455762,727187456
