t,value
1574455529,26424408
1574455530,26424408
1574455531,26424408
1574455532,29075024
1574455533,29075024
1574455534,29075024
1574455535,31717432
1574455536,31717432
1574455537,31717432
1574455538,66071016
1574455539,105930536
1574455540,108572976
1574455541,111215912
1574455542,116500760
1574455543,119143232
1574455544,124428600
1574455545,129713456
1574455546,129713456
1574455547,4095792
1574455548,5417032
1574455549,42816352
1574455550,101316176
1574455551,171900488
1574455552,10356056
1574455553,82166832
1574455554,146500272
1574455555,221139320
1574455556,302812368
1574455557,74113856
1574455558,154546656
1574455559,241553992
1574455560,34235104
1574455561,130531448
1574455562,234623920
1574455563,337325448
1574455564,88050728
1574455565,205697848
1574455566,328270944
1574455567,89580000
1574455568,217453776
1574455569,345856696
1574455570,76450136
1574455571,209140280
1574455572,346863272
1574455573,99022648
1574455574,242760520
1574455575,392305512
1574455576,130969248
1574455577,293479648
1574455578,32546944
1574455579,200578440
1574455580,368391416
1574455581,101546360
1574455582,287080720
1574455583,28271080
1574455584,217331024
1574455585,399331616
1574455586,141055136
1574455587,340136600
1574455588,95113456
1574455589,303092848
1574455590,62851024
1574455591,266677944
1574455592,27337840
1574455593,242537720
1574455594,12004464
1574455595,235096272
1574455596,11585712
1574455597,248706472
1574455598,26531008
1574455599,268307288
1574455600,53795504
1574455601,302129464
1574455602,100885320
1574455603,356682080
1574455604,160062392
1574455605,425680352
1574455606,225159520
1574455607,36481824
1574455608,318498368
1574455609,126219160
1574455610,421836816
1574455611,241504912
1574455612,48366880
1574455613,351381416
1574455614,185640024
1574455615,20360344
1574455616,314270560
1574455617,161128048
1574455618,456771440
1574455619,306428600
1574455620,150100816
1574455621,6821136
1574455622,346112792
1574455623,202407504
1574455624,62695576
1574455625,398362768
1574455626,282106376
1574455627,136757344
1574455628,14417048
1574455629,370506920
1574455630,258063672
1574455631,152035512
1574455632,41334088
1574455633,403619848
1574455634,262988168
1574455635,154431088
1574455636,62409056
1574455637,432277336
1574455638,322313976
1574455639,229994016
1574455640,142077424
1574455641,69348592
1574455642,453585280
1574455643,401254264
1574455644,290409040
1574455645,212862096
1574455646,122504104
1574455647,57803032
1574455648,487295592
1574455649,413428224
1574455650,353371272
1574455651,279755176
1574455652,221108528
1574455653,158176464
1574455654,119493272
1574455655,56785128
1574455656,487344864
1574455657,487724592
1574455658,456840504
1574455659,430504592
1574455660,351737912
1574455661,324919184
1574455662,298854600
1574455663,229573336
1574455664,228223992
1574455665,191885680
1574455666,188653000
1574455667,181399640
1574455668,125712056
1574455669,113606592
1574455670,92303624
1574455671,78412248
1574455672,58748000
1574455673,53300576
1574455674,23312960
1574455675,24722512
1574455676,36269760
1574455677,71708992
1574455678,39197464
1574455679,60123376
1574455680,32550344
1574455681,77008744
1574455682,53557264
1574455683,97386528
1574455684,88373792
1574455685,101603864
1574455686,105818320
1574455687,161227176
1574455688,168477312
1574455689,191014800
1574455690,199027184
1574455691,236454728
1574455692,241395976
1574455693,321644112
1574455694,357859416
1574455695,349717880
1574455696,427033800
1574455697,471122472
1574455698,470954408
1574455699,558410392
1574455700,540447960
1574455701,31932584
1574455702,79253440
1574455703,93045512
1574455704,172272976
1574455705,342172872
1574455706,282213776
1574455707,281409440
1574455708,338073144
1574455709,388068344
1574455710,420777496
1574455711,496274864
1574455712,538400624
1574455713,591907512
1574455714,31768544
1574455715,85740080
1574455716,149936344
1574455717,240839440
1574455718,231041168
1574455719,269968952
1574455720,289660648
1574455721,358491160
1574455722,556201344
1574455723,435674648
1574455724,470408232
1574455725,480608496
1574455726,542359992
1574455727,580231704
1574455728,605897576
1574455729,638909888
1574455730,22686584
1574455731,51872288
1574455732,75303784
1574455733,131726912
1574455734,205349800
1574455735,190537168
1574455736,224389952
1574455737,264229624
1574455738,281138896
1574455739,261973320
1574455740,250128904
1574455741,336813200
1574455742,262254336
1574455743,277577128
1574455744,371658424
1574455745,243151064
1574455746,246411120
1574455747,230594776
1574455748,186284960
1574455749,157481568
1574455750,163544504
1574455751,118915008
1574455752,113268792
1574455753,141508616
1574455754,103605648
1574455755,98311736
1574455756,23219200
1574455757,681100368
1574455758,678662920
1574455759,601569336
1574455760,39793160
1574455761,559816056
1574455762,572782808
