t,value
1574455529,351272960
1574455530,351272960
1574455531,351272960
1574455532,351272960
1574455533,351272960
1574455534,351272960
1574455535,351272960
1574455536,351272960
1574455537,351272960
1574455538,351272960
1574455539,1425539072
1574455540,1425539072
1574455541,1425539072
1574455542,1425539072
1574455543,1425539072
1574455544,1425539072
1574455545,1425539072
1574455546,1425539072
1574455547,1425539072
1574455548,1425539072
1574455549,2936012800
1574455550,2936012800
1574455551,2936012800
1574455552,2936012800
1574455553,2936012800
1574455554,2936012800
1574455555,2936012800
1574455556,2936012800
1574455557,2936012800
1574455558,2936012800
1574455559,2936012800
1574455560,2936012800
1574455561,2936012800
1574455562,2936012800
1574455563,2936012800
1574455564,2936012800
1574455565,2936012800
1574455566,2936012800
1574455567,2936012800
1574455568,2936012800
1574455569,2936012800
1574455570,2936012800
1574455571,2936012800
1574455572,2936012800
1574455573,2936012800
1574455574,2936012800
1574455575,2936012800
1574455576,2936012800
1574455577,2936012800
1574455578,2936012800
1574455579,2936012800
1574455580,2936012800
1574455581,2936012800
1574455582,2936012800
1574455583,2936012800
1574455584,2936012800
1574455585,2936012800
1574455586,2936012800
1574455587,2936012800
1574455588,2936012800
1574455589,2936012800
1574455590,2936012800
1574455591,2936012800
1574455592,2936012800
1574455593,2936012800
1574455594,2936012800
1574455595,2936012800
1574455596,2936012800
1574455597,2936012800
1574455598,2936012800
1574455599,2936012800
1574455600,2936012800
1574455601,2936012800
1574455602,2936012800
1574455603,2936012800
1574455604,2936012800
1574455605,2936012800
1574455606,2936012800
1574455607,2936012800
1574455608,2936012800
1574455609,2936012800
1574455610,2936012800
1574455611,2936012800
1574455612,2936012800
1574455613,2936012800
1574455614,2936012800
1574455615,2936012800
1574455616,2936012800
1574455617,2936012800
1574455618,2936012800
1574455619,2936012800
1574455620,2936012800
1574455621,2936012800
1574455622,2936012800
1574455623,2936012800
1574455624,2936012800
1574455625,2936012800
1574455626,2936012800
1574455627,2936012800
1574455628,2936012800
1574455629,2936012800
1574455630,2936012800
1574455631,2936012800
1574455632,2936012800
1574455633,2936012800
1574455634,2936012800
1574455635,2936012800
1574455636,2936012800
1574455637,2936012800
1574455638,2936012800
1574455639,2936012800
1574455640,2936012800
1574455641,2936012800
1574455642,2936012800
1574455643,2936012800
1574455644,2936012800
1574455645,2936012800
1574455646,2936012800
1574455647,2936012800
1574455648,2936012800
1574455649,2936012800
1574455650,2936012800
1574455651,2936012800
1574455652,2936012800
1574455653,2936012800
1574455654,2936012800
1574455655,2936012800
1574455656,2936012800
1574455657,2936012800
1574455658,2936012800
1574455659,2936012800
1574455660,2936012800
1574455661,2936012800
1574455662,2936012800
1574455663,2936012800
1574455664,2936012800
1574455665,2936012800
1574455666,2936012800
1574455667,2936012800
1574455668,2936012800
1574455669,2936012800
1574455670,2936012800
1574455671,2936012800
1574455672,2936012800
1574455673,2936012800
1574455674,2936012800
1574455675,2936012800
1574455676,2936012800
1574455677,2936012800
1574455678,2936012800
1574455679,2936012800
1574455680,2936012800
1574455681,2936012800
1574455682,2936012800
1574455683,2936012800
1574455684,2936012800
1574455685,2936012800
1574455686,2936012800
1574455687,2936012800
1574455688,2936012800
1574455689,2936012800
1574455690,2936012800
1574455691,2936012800
1574455692,2936012800
1574455693,2936012800
1574455694,2936012800
1574455695,2936012800
1574455696,2936012800
1574455697,2936012800
1574455698,2936012800
1574455699,2936012800
1574455700,2936012800
1574455701,2936012800
1574455702,2936012800
1574455703,2936012800
1574455704,2936012800
1574455705,2936012800
1574455706,2936012800
1574455707,2936012800
1574455708,2936012800
1574455709,2936012800
1574455710,2936012800
1574455711,2936012800
1574455712,2936012800
1574455713,2936012800
1574455714,2936012800
1574455715,2936012800
1574455716,2936012800
1574455717,2936012800
1574455718,2936012800
1574455719,2936012800
1574455720,2936012800
1574455721,2936012800
1574455722,2936012800
1574455723,2936012800
1574455724,2936012800
1574455725,2936012800
1574455726,2936012800
1574455727,2936012800
1574455728,2936012800
1574455729,2936012800
1574455730,2936012800
1574455731,2936012800
1574455732,2936012800
1574455733,2936012800
1574455734,2936012800
1574455735,2936012800
1574455736,2936012800
1574455737,2936012800
1574455738,2936012800
1574455739,2936012800
1574455740,2936012800
1574455741,2936012800
1574455742,2936012800
1574455743,2936012800
1574455744,2936012800
1574455745,2936012800
1574455746,2936012800
1574455747,2936012800
1574455748,2936012800
1574455749,2936012800
1574455750,2936012800
1574455751,2936012800
1574455752,2936012800
1574455753,2936012800
1574455754,2936012800
1574455755,2936012800
1574455756,2936012800
1574455757,2936012800
1574455758,2936012800
1574455759,2936012800
1574455760,2936012800
1574455761,2936012800
1574455762,2936012800
