t,value
1574455529,5599395840
1574455530,5599395840
1574455531,5599395840
1574455532,5599395840
1574455533,5599395840
1574455534,5599395840
1574455535,5599395840
1574455536,5599395840
1574455537,5599395840
1574455538,5599395840
1574455539,5599395840
1574455540,5599395840
1574455541,5599395840
1574455542,5599395840
1574455543,5599395840
1574455544,5599395840
1574455545,5599395840
1574455546,5599395840
1574455547,5599395840
1574455548,5599395840
1574455549,5599395840
1574455550,5599395840
1574455551,5599395840
1574455552,5599395840
1574455553,5599395840
1574455554,5599395840
1574455555,5599395840
1574455556,5599395840
1574455557,5599395840
1574455558,5599395840
1574455559,5599395840
1574455560,5599395840
1574455561,5599395840
1574455562,5599395840
1574455563,5599395840
1574455564,5599395840
1574455565,5599395840
1574455566,5599395840
1574455567,5599395840
1574455568,5599395840
1574455569,5599395840
1574455570,5599395840
1574455571,5599395840
1574455572,5599395840
1574455573,5599395840
1574455574,5599395840
1574455575,5599395840
1574455576,5599395840
1574455577,5599395840
1574455578,5599395840
1574455579,5599395840
1574455580,5599395840
1574455581,5599395840
1574455582,5599395840
1574455583,5599395840
1574455584,5599395840
1574455585,5599395840
1574455586,5599395840
1574455587,5599395840
1574455588,5599395840
1574455589,5599395840
1574455590,5599395840
1574455591,5599395840
1574455592,5599395840
1574455593,5599395840
1574455594,5599395840
1574455595,5599395840
1574455596,5599395840
1574455597,5599395840
1574455598,5599395840
1574455599,5599395840
1574455600,5599395840
1574455601,5599395840
1574455602,5599395840
1574455603,5599395840
1574455604,5599395840
1574455605,5599395840
1574455606,5599395840
1574455607,5599395840
1574455608,5599395840
1574455609,5599395840
1574455610,5599395840
1574455611,5599395840
1574455612,5599395840
1574455613,5599395840
1574455614,5599395840
1574455615,5599395840
1574455616,5599395840
1574455617,5599395840
1574455618,5599395840
1574455619,5599395840
1574455620,5599395840
1574455621,5599395840
1574455622,5599395840
1574455623,5599395840
1574455624,5599395840
1574455625,5599395840
1574455626,5599395840
1574455627,5599395840
1574455628,5599395840
1574455629,5599395840
1574455630,5599395840
1574455631,5599395840
1574455632,5599395840
1574455633,5599395840
1574455634,5599395840
1574455635,5599395840
1574455636,5599395840
1574455637,5599395840
1574455638,5599395840
1574455639,5599395840
1574455640,5599395840
1574455641,5599395840
1574455642,5599395840
1574455643,5599395840
1574455644,5599395840
1574455645,5599395840
1574455646,5599395840
1574455647,5599395840
1574455648,5599395840
1574455649,5599395840
1574455650,5599395840
1574455651,5599395840
1574455652,5599395840
1574455653,5599395840
1574455654,5599395840
1574455655,5599395840
1574455656,5599395840
1574455657,5599395840
1574455658,5599395840
1574455659,5599395840
1574455660,5599395840
1574455661,5599395840
1574455662,5599395840
1574455663,5599395840
1574455664,5599395840
1574455665,5599395840
1574455666,5599395840
1574455667,5599395840
1574455668,5599395840
1574455669,5599395840
1574455670,5599395840
1574455671,5599395840
1574455672,5599395840
1574455673,5599395840
1574455674,5599395840
1574455675,5599395840
1574455676,5599395840
1574455677,5599395840
1574455678,5599395840
1574455679,5599395840
1574455680,5599395840
1574455681,5599395840
1574455682,5599395840
1574455683,5599395840
1574455684,5599395840
1574455685,5599395840
1574455686,5599395840
1574455687,5599395840
1574455688,5599395840
1574455689,5599395840
1574455690,5599395840
1574455691,5599395840
1574455692,5599395840
1574455693,5599395840
1574455694,5599395840
1574455695,5599395840
1574455696,5599395840
1574455697,5599395840
1574455698,5599395840
1574455699,5599395840
1574455700,5599395840
1574455701,5599395840
1574455702,5599395840
1574455703,5599395840
1574455704,5599395840
1574455705,5599395840
1574455706,5599395840
1574455707,5599395840
1574455708,5599395840
1574455709,5599395840
1574455710,5599395840
1574455711,5599395840
1574455712,5599395840
1574455713,5599395840
1574455714,5599395840
1574455715,5599395840
1574455716,5599395840
1574455717,5599395840
1574455718,5599395840
1574455719,5599395840
1574455720,5599395840
1574455721,5599395840
1574455722,5599395840
1574455723,5599395840
1574455724,5599395840
1574455725,5599395840
1574455726,5599395840
1574455727,5599395840
1574455728,5599395840
1574455729,5599395840
1574455730,5599395840
1574455731,5599395840
1574455732,5599395840
1574455733,5599395840
1574455734,5599395840
1574455735,5599395840
1574455736,5599395840
1574455737,5599395840
1574455738,5599395840
1574455739,5599395840
1574455740,5599395840
1574455741,5599395840
1574455742,5599395840
1574455743,5599395840
1574455744,5599395840
1574455745,5599395840
1574455746,5599395840
1574455747,5599395840
1574455748,5599395840
1574455749,5599395840
1574455750,5599395840
1574455751,5599395840
1574455752,5599395840
1574455753,5599395840
1574455754,5599395840
1574455755,5599395840
1574455756,5599395840
1574455757,5599395840
1574455758,5599395840
1574455759,5599395840
1574455760,5599395840
1574455761,5599395840
1574455762,5599395840
