t,value
1574455529,0
1574455530,0
1574455531,0
1574455532,0
1574455533,0
1574455534,0
1574455535,0
1574455536,0
1574455537,0
1574455538,0
1574455539,0
1574455540,0
1574455541,0
1574455542,0
1574455543,0
1574455544,0
1574455545,0
1574455546,0
1574455547,0
1574455548,0
1574455549,2122650768
1574455550,2122650768
1574455551,2122650768
1574455552,2122650768
1574455553,2122650768
1574455554,2122650768
1574455555,2122650768
1574455556,2122650768
1574455557,2122650768
1574455558,2122650768
1574455559,2122650768
1574455560,2122650768
1574455561,2122650768
1574455562,2122650768
1574455563,2122650768
1574455564,2122650768
1574455565,2122650768
1574455566,2122650768
1574455567,2122650768
1574455568,2122650768
1574455569,2122650768
1574455570,2122650768
1574455571,2122650768
1574455572,2122650768
1574455573,2122650768
1574455574,2122650768
1574455575,2122650768
1574455576,2122650768
1574455577,2122650768
1574455578,2122650768
1574455579,2122650768
1574455580,2122650768
1574455581,2122650768
1574455582,2122650768
1574455583,2122650768
1574455584,2122650768
1574455585,2122650768
1574455586,2122650768
1574455587,2122650768
1574455588,2122650768
1574455589,2122650768
1574455590,2122650768
1574455591,2122650768
1574455592,2122650768
1574455593,2122650768
1574455594,2122650768
1574455595,2122650768
1574455596,2122650768
1574455597,2122650768
1574455598,2122650768
1574455599,2122650768
1574455600,2122650768
1574455601,2122650768
1574455602,2122650768
1574455603,2122650768
1574455604,2122650768
1574455605,2122650768
1574455606,2122650768
1574455607,2122650768
1574455608,2122650768
1574455609,2122650768
1574455610,2122650768
1574455611,2122650768
1574455612,2122650768
1574455613,2122650768
1574455614,2122650768
1574455615,2122650768
1574455616,2122650768
1574455617,2122650768
1574455618,2122650768
1574455619,2122650768
1574455620,2122650768
1574455621,2122650768
1574455622,2122650768
1574455623,2122650768
1574455624,2122650768
1574455625,2122650768
1574455626,2122650768
1574455627,2122650768
1574455628,2122650768
1574455629,2122650768
1574455630,2122650768
1574455631,2122650768
1574455632,2122650768
1574455633,2122650768
1574455634,2122650768
1574455635,2122650768
1574455636,2122650768
1574455637,2122650768
1574455638,2122650768
1574455639,2122650768
1574455640,2122650768
1574455641,2122650768
1574455642,2122650768
1574455643,2122650768
1574455644,2122650768
1574455645,2122650768
1574455646,2122650768
1574455647,2122650768
1574455648,2122650768
1574455649,2122650768
1574455650,2122650768
1574455651,2122650768
1574455652,2122650768
1574455653,2122650768
1574455654,2122650768
1574455655,2122650768
1574455656,2122650768
1574455657,2122650768
1574455658,2122650768
1574455659,2122650768
1574455660,2122650768
1574455661,2122650768
1574455662,2122650768
1574455663,2122650768
1574455664,2122650768
1574455665,2122650768
1574455666,2122650768
1574455667,2122650768
1574455668,2122650768
1574455669,2122650768
1574455670,2122650768
1574455671,2122650768
1574455672,2122650768
1574455673,2122650768
1574455674,2122650768
1574455675,2122650768
1574455676,2122650768
1574455677,2122650768
1574455678,2122650768
1574455679,2122650768
1574455680,2122650768
1574455681,2122650768
1574455682,2122650768
1574455683,2122650768
1574455684,2122650768
1574455685,2122650768
1574455686,2122650768
1574455687,2122650768
1574455688,2122650768
1574455689,2122650768
1574455690,2122650768
1574455691,2122650768
1574455692,2122650768
1574455693,2122650768
1574455694,2122650768
1574455695,2122650768
1574455696,2122650768
1574455697,2122650768
1574455698,2122650768
1574455699,2122650768
1574455700,2122650768
1574455701,2122650768
1574455702,2122650768
1574455703,2122650768
1574455704,2122650768
1574455705,2122650768
1574455706,2122650768
1574455707,2122650768
1574455708,2122650768
1574455709,2122650768
1574455710,2122650768
1574455711,2122650768
1574455712,2122650768
1574455713,2122650768
1574455714,2122650768
1574455715,2122650768
1574455716,2122650768
1574455717,2122650768
1574455718,2122650768
1574455719,2122650768
1574455720,2122650768
1574455721,2122650768
1574455722,2122650768
1574455723,2122650768
1574455724,2122650768
1574455725,2122650768
1574455726,2122650768
1574455727,2122650768
1574455728,2122650768
1574455729,2122650768
1574455730,2122650768
1574455731,2122650768
1574455732,2122650768
1574455733,2122650768
1574455734,2122650768
1574455735,2122650768
1574455736,2122650768
1574455737,2122650768
1574455738,2122650768
1574455739,2122650768
1574455740,2122650768
1574455741,2122650768
1574455742,2122650768
1574455743,2122650768
1574455744,2122650768
1574455745,2122650768
1574455746,2122650768
1574455747,2122650768
1574455748,2122650768
1574455749,2122650768
1574455750,2122650768
1574455751,2122650768
1574455752,2122650768
1574455753,2122650768
1574455754,2122650768
1574455755,2122650768
1574455756,2122650768
1574455757,2122650768
1574455758,2122650768
1574455759,2122650768
1574455760,2122650768
1574455761,2122650768
1574455762,2122650768
