t,value
1574455529,21495808
1574455530,21495808
1574455531,21495808
1574455532,21495808
1574455533,21495808
1574455534,21495808
1574455535,21495808
1574455536,21495808
1574455537,21495808
1574455538,21495808
1574455539,21495808
1574455540,21495808
1574455541,21495808
1574455542,21495808
1574455543,21495808
1574455544,21495808
1574455545,21495808
1574455546,21495808
1574455547,21495808
1574455548,21495808
1574455549,21495808
1574455550,21495808
1574455551,21495808
1574455552,21495808
1574455553,21495808
1574455554,21495808
1574455555,21495808
1574455556,21495808
1574455557,21495808
1574455558,21495808
1574455559,21495808
1574455560,21495808
1574455561,21495808
1574455562,21495808
1574455563,21495808
1574455564,21495808
1574455565,21495808
1574455566,21495808
1574455567,21495808
1574455568,21495808
1574455569,21495808
1574455570,21495808
1574455571,21495808
1574455572,21495808
1574455573,21495808
1574455574,21495808
1574455575,21495808
1574455576,21495808
1574455577,21495808
1574455578,21495808
1574455579,21495808
1574455580,21495808
1574455581,21495808
1574455582,21495808
1574455583,21495808
1574455584,21495808
1574455585,21495808
1574455586,21495808
1574455587,21495808
1574455588,21495808
1574455589,21495808
1574455590,21495808
1574455591,21495808
1574455592,21495808
1574455593,21495808
1574455594,21495808
1574455595,21495808
1574455596,21495808
1574455597,21495808
1574455598,21495808
1574455599,21495808
1574455600,21495808
1574455601,21495808
1574455602,21495808
1574455603,21495808
1574455604,21495808
1574455605,21495808
1574455606,21495808
1574455607,21495808
1574455608,21495808
1574455609,21495808
1574455610,21495808
1574455611,21495808
1574455612,21495808
1574455613,21495808
1574455614,21495808
1574455615,21495808
1574455616,21495808
1574455617,21495808
1574455618,21495808
1574455619,21495808
1574455620,21495808
1574455621,21495808
1574455622,21495808
1574455623,21495808
1574455624,21495808
1574455625,21495808
1574455626,21495808
1574455627,21495808
1574455628,21495808
1574455629,21495808
1574455630,21495808
1574455631,21495808
1574455632,21495808
1574455633,21495808
1574455634,21495808
1574455635,21495808
1574455636,21495808
1574455637,21495808
1574455638,21495808
1574455639,21495808
1574455640,21495808
1574455641,21495808
1574455642,21495808
1574455643,21495808
1574455644,21495808
1574455645,21495808
1574455646,21495808
1574455647,21495808
1574455648,21495808
1574455649,21495808
1574455650,21495808
1574455651,21495808
1574455652,21495808
1574455653,21495808
1574455654,21495808
1574455655,21495808
1574455656,21495808
1574455657,21495808
1574455658,21495808
1574455659,21495808
1574455660,21495808
1574455661,21495808
1574455662,21495808
1574455663,21495808
1574455664,21495808
1574455665,21495808
1574455666,21495808
1574455667,21495808
1574455668,21495808
1574455669,21495808
1574455670,21495808
1574455671,21495808
1574455672,21495808
1574455673,21495808
1574455674,21495808
1574455675,21495808
1574455676,21495808
1574455677,21495808
1574455678,21495808
1574455679,21495808
1574455680,21495808
1574455681,21495808
1574455682,21495808
1574455683,21495808
1574455684,21495808
1574455685,21495808
1574455686,21495808
1574455687,21495808
1574455688,21495808
1574455689,21495808
1574455690,21495808
1574455691,21495808
1574455692,21495808
1574455693,21495808
1574455694,21495808
1574455695,21495808
1574455696,21495808
1574455697,21495808
1574455698,21495808
1574455699,21495808
1574455700,21495808
1574455701,21495808
1574455702,21495808
1574455703,21495808
1574455704,21495808
1574455705,21495808
1574455706,21495808
1574455707,21495808
1574455708,21495808
1574455709,21495808
1574455710,21495808
1574455711,21495808
1574455712,21495808
1574455713,21495808
1574455714,21495808
1574455715,21495808
1574455716,21495808
1574455717,21495808
1574455718,21495808
1574455719,21495808
1574455720,21495808
1574455721,21495808
1574455722,21495808
1574455723,21495808
1574455724,21495808
1574455725,21495808
1574455726,21495808
1574455727,21495808
1574455728,21495808
1574455729,21495808
1574455730,21495808
1574455731,21495808
1574455732,21495808
1574455733,21495808
1574455734,21495808
1574455735,21495808
1574455736,21495808
1574455737,21495808
1574455738,21495808
1574455739,21495808
1574455740,21495808
1574455741,21495808
1574455742,21495808
1574455743,21495808
1574455744,21495808
1574455745,21495808
1574455746,21495808
1574455747,21495808
1574455748,21495808
1574455749,21495808
1574455750,21495808
1574455751,21495808
1574455752,21495808
1574455753,21495808
1574455754,21495808
1574455755,21495808
1574455756,21495808
1574455757,21495808
1574455758,21495808
1574455759,21495808
1574455760,21495808
1574455761,21495808
1574455762,21495808
