t,value
1574455529,21495808
1574455530,21495808
1574455531,21495808
1574455532,21495808
1574455533,21495808
1574455534,21495808
1574455535,21495808
1574455536,21495808
1574455537,21495808
1574455538,21495808
1574455539,21495808
1574455540,21495808
1574455541,21495808
1574455542,21495808
1574455543,21495808
1574455544,21495808
1574455545,21495808
1574455546,21495808
1574455547,21495808
1574455548,21495808
1574455549,156237824
1574455550,156237824
1574455551,156237824
1574455552,155713536
1574455553,155713536
1574455554,155713536
1574455555,155713536
1574455556,155713536
1574455557,185597952
1574455558,185597952
1574455559,185597952
1574455560,155189248
1574455561,155189248
1574455562,155189248
1574455563,155189248
1574455564,172490752
1574455565,172490752
1574455566,172490752
1574455567,143130624
1574455568,143130624
1574455569,143130624
1574455570,158859264
1574455571,158859264
1574455572,158859264
1574455573,132120576
1574455574,132120576
1574455575,132120576
1574455576,145227776
1574455577,145227776
1574455578,121634816
1574455579,121634816
1574455580,121634816
1574455581,132120576
1574455582,132120576
1574455583,111673344
1574455584,111673344
1574455585,111673344
1574455586,119537664
1574455587,119537664
1574455588,102236160
1574455589,102236160
1574455590,108527616
1574455591,108527616
1574455592,92274688
1574455593,92274688
1574455594,98041856
1574455595,98041856
1574455596,96468992
1574455597,96468992
1574455598,97517568
1574455599,97517568
1574455600,90701824
1574455601,90701824
1574455602,93323264
1574455603,93323264
1574455604,84410368
1574455605,84410368
1574455606,1048576
1574455607,77070336
1574455608,77070336
1574455609,1048576
1574455610,1048576
1574455611,69730304
1574455612,1048576
1574455613,1048576
1574455614,61341696
1574455615,1048576
1574455616,1048576
1574455617,55574528
1574455618,55574528
1574455619,1048576
1574455620,48758784
1574455621,524288
1574455622,524288
1574455623,42991616
1574455624,1048576
1574455625,1048576
1574455626,37224448
1574455627,39845888
1574455628,31981568
1574455629,31981568
1574455630,34603008
1574455631,27787264
1574455632,29884416
1574455633,29884416
1574455634,23592960
1574455635,25690112
1574455636,20971520
1574455637,20971520
1574455638,22544384
1574455639,18350080
1574455640,19398656
1574455641,14680064
1574455642,14680064
1574455643,16252928
1574455644,13107200
1574455645,14155776
1574455646,11010048
1574455647,12058624
1574455648,12058624
1574455649,10485760
1574455650,10485760
1574455651,8388608
1574455652,8912896
1574455653,7340032
1574455654,7864320
1574455655,5767168
1574455656,5767168
1574455657,6291456
1574455658,5242880
1574455659,5767168
1574455660,4194304
1574455661,4718592
1574455662,3670016
1574455663,4194304
1574455664,3670016
1574455665,3670016
1574455666,2621440
1574455667,3145728
1574455668,2621440
1574455669,2621440
1574455670,2097152
1574455671,2621440
1574455672,1572864
1574455673,2097152
1574455674,2097152
1574455675,2097152
1574455676,2097152
1574455677,2097152
1574455678,1572864
1574455679,1572864
1574455680,1572864
1574455681,1572864
1574455682,1572864
1574455683,1572864
1574455684,1572864
1574455685,1572864
1574455686,1572864
1574455687,1572864
1574455688,1048576
1574455689,1048576
1574455690,1048576
1574455691,1048576
1574455692,1048576
1574455693,1048576
1574455694,1048576
1574455695,1048576
1574455696,1048576
1574455697,1048576
1574455698,1048576
1574455699,1048576
1574455700,1048576
1574455701,1048576
1574455702,1048576
1574455703,1048576
1574455704,1048576
1574455705,524288
1574455706,1048576
1574455707,524288
1574455708,1048576
1574455709,1048576
1574455710,1048576
1574455711,1048576
1574455712,1048576
1574455713,1048576
1574455714,1048576
1574455715,1048576
1574455716,1048576
1574455717,1048576
1574455718,1572864
1574455719,1572864
1574455720,1572864
1574455721,2097152
1574455722,2097152
1574455723,2097152
1574455724,2621440
1574455725,2621440
1574455726,2097152
1574455727,2621440
1574455728,2621440
1574455729,2621440
1574455730,2621440
1574455731,2621440
1574455732,2621440
1574455733,2621440
1574455734,2621440
1574455735,3145728
1574455736,4194304
1574455737,5242880
1574455738,5767168
1574455739,6815744
1574455740,7340032
1574455741,7864320
1574455742,8388608
1574455743,8912896
1574455744,9437184
1574455745,9437184
1574455746,9437184
1574455747,9961472
1574455748,9961472
1574455749,9961472
1574455750,9961472
1574455751,9961472
1574455752,9961472
1574455753,9961472
1574455754,9961472
1574455755,9437184
1574455756,9437184
1574455757,9437184
1574455758,9437184
1574455759,9437184
1574455760,9437184
1574455761,9437184
1574455762,8912896
