t,value
1574455529,0
1574455530,0
1574455531,0
1574455532,0
1574455533,0
1574455534,0
1574455535,0
1574455536,0
1574455537,0
1574455538,0
1574455539,0
1574455540,0
1574455541,0
1574455542,0
1574455543,0
1574455544,0
1574455545,0
1574455546,0
1574455547,14945336
1574455548,14945336
1574455549,0
1574455550,0
1574455551,0
1574455552,29275808
1574455553,29275808
1574455554,29275808
1574455555,29275808
1574455556,29275808
1574455557,29210272
1574455558,29210272
1574455559,29210272
1574455560,29341344
1574455561,29341344
1574455562,29341344
1574455563,29341344
1574455564,29374112
1574455565,29374112
1574455566,29374112
1574455567,29374112
1574455568,29374112
1574455569,29374112
1574455570,29406880
1574455571,29406880
1574455572,29406880
1574455573,29537232
1574455574,29537232
1574455575,29537232
1574455576,29602024
1574455577,29602024
1574455578,29578496
1574455579,29578496
1574455580,29578496
1574455581,29668304
1574455582,29668304
1574455583,29669024
1574455584,29669024
1574455585,29669024
1574455586,29734560
1574455587,29734560
1574455588,29708824
1574455589,29708824
1574455590,29669024
1574455591,29669024
1574455592,29765888
1574455593,29765888
1574455594,950272
1574455595,950272
1574455596,884736
1574455597,884736
1574455598,850504
1574455599,850504
1574455600,729392
1574455601,729392
1574455602,785712
1574455603,785712
1574455604,916040
1574455605,916040
1574455606,784968
1574455607,720896
1574455608,720896
1574455609,686664
1574455610,686664
1574455611,655360
1574455612,751480
1574455613,751480
1574455614,784968
1574455615,687408
1574455616,687408
1574455617,686664
1574455618,686664
1574455619,881808
1574455620,458752
1574455621,524288
1574455622,524288
1574455623,621872
1574455624,556336
1574455625,556336
1574455626,589104
1574455627,621872
1574455628,687408
1574455629,687408
1574455630,621128
1574455631,491520
1574455632,490800
1574455633,490800
1574455634,458752
1574455635,557056
1574455636,557056
1574455637,557056
1574455638,524288
1574455639,491520
1574455640,523568
1574455641,653896
1574455642,653896
1574455643,522824
1574455644,720176
1574455645,458752
1574455646,458752
1574455647,524288
1574455648,490800
1574455649,490800
1574455650,491520
1574455651,784272
1574455652,621152
1574455653,524288
1574455654,523568
1574455655,621152
1574455656,621152
1574455657,705616
1574455658,589104
1574455659,621152
1574455660,654640
1574455661,621128
1574455662,587640
1574455663,458752
1574455664,556336
1574455665,621872
1574455666,556336
1574455667,620408
1574455668,588360
1574455669,717992
1574455670,621128
1574455671,653920
1574455672,491520
1574455673,327680
1574455674,393216
1574455675,589104
1574455676,532064
1574455677,628184
1574455678,620408
1574455679,653920
1574455680,393216
1574455681,597600
1574455682,556336
1574455683,401712
1574455684,457288
1574455685,458752
1574455686,621872
1574455687,597600
1574455688,393216
1574455689,662416
1574455690,524288
1574455691,596856
1574455692,425984
1574455693,564088
1574455694,557056
1574455695,523568
1574455696,360448
1574455697,556336
1574455698,554128
1574455699,879648
1574455700,879648
1574455701,717992
1574455702,562624
1574455703,557056
1574455704,556336
1574455705,524288
1574455706,425264
1574455707,458752
1574455708,393216
1574455709,425984
1574455710,652456
1574455711,618944
1574455712,425984
1574455713,491520
1574455714,646640
1574455715,974792
1574455716,986688
1574455717,1019952
1574455718,1332576
1574455719,1316800
1574455720,1399328
1574455721,1560984
1574455722,1594496
1574455723,1643512
1574455724,1497632
1574455725,1765368
1574455726,1528936
1574455727,1496912
1574455728,1464864
1574455729,1478456
1574455730,1538176
1574455731,1481136
1574455732,1457584
1574455733,1729440
1574455734,2618072
1574455735,3116640
1574455736,4165232
1574455737,5171344
1574455738,5640304
1574455739,5787648
1574455740,5837384
1574455741,5975512
1574455742,5961920
1574455743,5938368
1574455744,6086432
1574455745,6053664
1574455746,6159744
1574455747,6086432
1574455748,6094928
1574455749,6053664
1574455750,6251488
1574455751,6324056
1574455752,6227216
1574455753,6334016
1574455754,6315560
1574455755,6375280
1574455756,6480616
1574455757,6489856
1574455758,6457808
1574455759,6457808
1574455760,6539616
1574455761,6539616
1574455762,6636456
