t,value
1574455529,517537792
1574455530,517668864
1574455531,517865472
1574455532,517931008
1574455533,518062080
1574455534,518127616
1574455535,518193152
1574455536,518258688
1574455537,518258688
1574455538,528416768
1574455539,1609957376
1574455540,1611137024
1574455541,1611137024
1574455542,1611137024
1574455543,1611268096
1574455544,1611268096
1574455545,1611268096
1574455546,1611399168
1574455547,1611399168
1574455548,1611399168
1574455549,3352559616
1574455550,3353477120
1574455551,3353870336
1574455552,3439329280
1574455553,3439525888
1574455554,3439591424
1574455555,3440050176
1574455556,3440050176
1574455557,3469934592
1574455558,3469934592
1574455559,3469934592
1574455560,3487760384
1574455561,3487760384
1574455562,3487760384
1574455563,3487760384
1574455564,3505061888
1574455565,3505061888
1574455566,3505061888
1574455567,3511877632
1574455568,3511877632
1574455569,3511877632
1574455570,3527737344
1574455571,3527737344
1574455572,3527737344
1574455573,3526164480
1574455574,3526164480
1574455575,3526164480
1574455576,3539271680
1574455577,3539271680
1574455578,3532455936
1574455579,3532455936
1574455580,3532455936
1574455581,3542941696
1574455582,3542941696
1574455583,3530358784
1574455584,3530358784
1574455585,3530358784
1574455586,3538223104
1574455587,3538223104
1574455588,3526688768
1574455589,3526688768
1574455590,3532980224
1574455591,3532980224
1574455592,3521445888
1574455593,3521445888
1574455594,3527213056
1574455595,3527213056
1574455596,3529310208
1574455597,3529310208
1574455598,3530358784
1574455599,3530358784
1574455600,3526688768
1574455601,3526688768
1574455602,3529310208
1574455603,3529310208
1574455604,3523018752
1574455605,3523018752
1574455606,3439656960
1574455607,3518300160
1574455608,3518300160
1574455609,3442278400
1574455610,3442278400
1574455611,3513581568
1574455612,3444899840
1574455613,3444899840
1574455614,3507814400
1574455615,3447521280
1574455616,3447521280
1574455617,3504144384
1574455618,3504144384
1574455619,3449618432
1574455620,3499950080
1574455621,3451715584
1574455622,3451715584
1574455623,3496804352
1574455624,3454861312
1574455625,3454861312
1574455626,3493658624
1574455627,3496280064
1574455628,3491037184
1574455629,3491037184
1574455630,3493658624
1574455631,3489464320
1574455632,3491561472
1574455633,3491561472
1574455634,3487891456
1574455635,3489988608
1574455636,3487891456
1574455637,3487891456
1574455638,3489464320
1574455639,3487891456
1574455640,3488940032
1574455641,3487367168
1574455642,3487367168
1574455643,3488940032
1574455644,3488940032
1574455645,3489988608
1574455646,3489464320
1574455647,3490512896
1574455648,3492085760
1574455649,3492085760
1574455650,3492085760
1574455651,3493134336
1574455652,3493658624
1574455653,3495231488
1574455654,3495755776
1574455655,3496804352
1574455656,3496804352
1574455657,3497328640
1574455658,3499425792
1574455659,3499950080
1574455660,3501522944
1574455661,3502047232
1574455662,3504144384
1574455663,3504668672
1574455664,3507290112
1574455665,3507290112
1574455666,3509387264
1574455667,3509911552
1574455668,3513057280
1574455669,3513057280
1574455670,3515678720
1574455671,3516203008
1574455672,3518300160
1574455673,3518824448
1574455674,3521970176
1574455675,3521970176
1574455676,3525115904
1574455677,3525115904
1574455678,3528261632
1574455679,3528261632
1574455680,3531931648
1574455681,3531931648
1574455682,3535601664
1574455683,3535601664
1574455684,3539271680
1574455685,3539271680
1574455686,3542941696
1574455687,3542941696
1574455688,3546087424
1574455689,3546087424
1574455690,3549757440
1574455691,3549757440
1574455692,3553427456
1574455693,3553427456
1574455694,3557097472
1574455695,3557097472
1574455696,3560767488
1574455697,3560767488
1574455698,3564961792
1574455699,3569156096
1574455700,3569156096
1574455701,3573350400
1574455702,3573350400
1574455703,3577544704
1574455704,3577544704
1574455705,3580690432
1574455706,3581214720
1574455707,3584360448
1574455708,3584884736
1574455709,3589079040
1574455710,3589079040
1574455711,3593273344
1574455712,3597467648
1574455713,3597467648
1574455714,3601661952
1574455715,3601661952
1574455716,3605856256
1574455717,3605856256
1574455718,3610574848
1574455719,3610574848
1574455720,3614244864
1574455721,3614769152
1574455722,3619487744
1574455723,3619487744
1574455724,3624730624
1574455725,3624730624
1574455726,3628400640
1574455727,3633119232
1574455728,3633119232
1574455729,3637313536
1574455730,3637313536
1574455731,3641507840
1574455732,3641507840
1574455733,3645702144
1574455734,3645702144
1574455735,3649372160
1574455736,3650420736
1574455737,3655663616
1574455738,3656187904
1574455739,3660906496
1574455740,3661430784
1574455741,3665625088
1574455742,3666149376
1574455743,3670343680
1574455744,3670867968
1574455745,3675062272
1574455746,3675062272
1574455747,3679780864
1574455748,3679780864
1574455749,3683450880
1574455750,3683450880
1574455751,3687120896
1574455752,3687120896
1574455753,3690790912
1574455754,3690790912
1574455755,3694460928
1574455756,3694460928
1574455757,3698655232
1574455758,3698655232
1574455759,3698655232
1574455760,3702849536
1574455761,3702849536
1574455762,3706519552
