t,value
1574455529,528941056
1574455530,528941056
1574455531,528941056
1574455532,528941056
1574455533,528941056
1574455534,528941056
1574455535,528941056
1574455536,528941056
1574455537,528941056
1574455538,528941056
1574455539,528941056
1574455540,528941056
1574455541,528941056
1574455542,528941056
1574455543,528941056
1574455544,528941056
1574455545,528941056
1574455546,528941056
1574455547,528941056
1574455548,528941056
1574455549,528941056
1574455550,528941056
1574455551,528941056
1574455552,528941056
1574455553,528941056
1574455554,528941056
1574455555,528941056
1574455556,528941056
1574455557,528941056
1574455558,528941056
1574455559,528941056
1574455560,528941056
1574455561,528941056
1574455562,528941056
1574455563,528941056
1574455564,528941056
1574455565,528941056
1574455566,528941056
1574455567,528941056
1574455568,528941056
1574455569,528941056
1574455570,528941056
1574455571,528941056
1574455572,528941056
1574455573,528941056
1574455574,528941056
1574455575,528941056
1574455576,528941056
1574455577,528941056
1574455578,528941056
1574455579,528941056
1574455580,528941056
1574455581,528941056
1574455582,528941056
1574455583,528941056
1574455584,528941056
1574455585,528941056
1574455586,528941056
1574455587,528941056
1574455588,528941056
1574455589,528941056
1574455590,528941056
1574455591,528941056
1574455592,528941056
1574455593,528941056
1574455594,528941056
1574455595,528941056
1574455596,528941056
1574455597,528941056
1574455598,528941056
1574455599,528941056
1574455600,528941056
1574455601,528941056
1574455602,528941056
1574455603,528941056
1574455604,528941056
1574455605,528941056
1574455606,528941056
1574455607,528941056
1574455608,528941056
1574455609,528941056
1574455610,528941056
1574455611,528941056
1574455612,528941056
1574455613,528941056
1574455614,528941056
1574455615,528941056
1574455616,528941056
1574455617,528941056
1574455618,528941056
1574455619,528941056
1574455620,528941056
1574455621,528941056
1574455622,528941056
1574455623,528941056
1574455624,528941056
1574455625,528941056
1574455626,528941056
1574455627,528941056
1574455628,528941056
1574455629,528941056
1574455630,528941056
1574455631,528941056
1574455632,528941056
1574455633,528941056
1574455634,528941056
1574455635,528941056
1574455636,528941056
1574455637,528941056
1574455638,528941056
1574455639,528941056
1574455640,528941056
1574455641,528941056
1574455642,528941056
1574455643,528941056
1574455644,528941056
1574455645,528941056
1574455646,528941056
1574455647,528941056
1574455648,528941056
1574455649,528941056
1574455650,528941056
1574455651,528941056
1574455652,528941056
1574455653,528941056
1574455654,528941056
1574455655,528941056
1574455656,528941056
1574455657,528941056
1574455658,528941056
1574455659,528941056
1574455660,528941056
1574455661,528941056
1574455662,528941056
1574455663,528941056
1574455664,528941056
1574455665,528941056
1574455666,528941056
1574455667,528941056
1574455668,528941056
1574455669,528941056
1574455670,528941056
1574455671,528941056
1574455672,528941056
1574455673,528941056
1574455674,528941056
1574455675,528941056
1574455676,528941056
1574455677,528941056
1574455678,528941056
1574455679,528941056
1574455680,528941056
1574455681,528941056
1574455682,528941056
1574455683,528941056
1574455684,528941056
1574455685,528941056
1574455686,528941056
1574455687,528941056
1574455688,528941056
1574455689,528941056
1574455690,528941056
1574455691,528941056
1574455692,528941056
1574455693,528941056
1574455694,528941056
1574455695,528941056
1574455696,528941056
1574455697,528941056
1574455698,528941056
1574455699,528941056
1574455700,528941056
1574455701,528941056
1574455702,528941056
1574455703,528941056
1574455704,528941056
1574455705,528941056
1574455706,528941056
1574455707,528941056
1574455708,528941056
1574455709,528941056
1574455710,528941056
1574455711,528941056
1574455712,528941056
1574455713,528941056
1574455714,528941056
1574455715,528941056
1574455716,528941056
1574455717,528941056
1574455718,528941056
1574455719,528941056
1574455720,528941056
1574455721,528941056
1574455722,528941056
1574455723,528941056
1574455724,528941056
1574455725,528941056
1574455726,528941056
1574455727,528941056
1574455728,528941056
1574455729,528941056
1574455730,528941056
1574455731,528941056
1574455732,528941056
1574455733,528941056
1574455734,528941056
1574455735,528941056
1574455736,528941056
1574455737,528941056
1574455738,528941056
1574455739,528941056
1574455740,528941056
1574455741,528941056
1574455742,528941056
1574455743,528941056
1574455744,528941056
1574455745,528941056
1574455746,528941056
1574455747,528941056
1574455748,528941056
1574455749,528941056
1574455750,528941056
1574455751,528941056
1574455752,528941056
1574455753,528941056
1574455754,528941056
1574455755,528941056
1574455756,528941056
1574455757,528941056
1574455758,528941056
1574455759,528941056
1574455760,528941056
1574455761,528941056
1574455762,528941056
