t,value
1574455529,4
1574455530,4
1574455531,4
1574455532,4
1574455533,4
1574455534,4
1574455535,4
1574455536,4
1574455537,4
1574455538,6
1574455539,8
1574455540,8
1574455541,9
1574455542,9
1574455543,9
1574455544,9
1574455545,9
1574455546,9
1574455547,9
1574455548,9
1574455549,8
1574455550,8
1574455551,8
1574455552,8
1574455553,8
1574455554,8
1574455555,8
1574455556,8
1574455557,8
1574455558,8
1574455559,8
1574455560,8
1574455561,8
1574455562,8
1574455563,8
1574455564,8
1574455565,8
1574455566,8
1574455567,8
1574455568,8
1574455569,8
1574455570,8
1574455571,8
1574455572,8
1574455573,8
1574455574,8
1574455575,8
1574455576,8
1574455577,8
1574455578,8
1574455579,8
1574455580,8
1574455581,8
1574455582,8
1574455583,8
1574455584,8
1574455585,8
1574455586,8
1574455587,8
1574455588,8
1574455589,8
1574455590,8
1574455591,8
1574455592,8
1574455593,8
1574455594,8
1574455595,8
1574455596,8
1574455597,8
1574455598,7
1574455599,6
1574455600,6
1574455601,6
1574455602,6
1574455603,6
1574455604,6
1574455605,6
1574455606,6
1574455607,6
1574455608,6
1574455609,6
1574455610,6
1574455611,6
1574455612,6
1574455613,6
1574455614,6
1574455615,6
1574455616,6
1574455617,6
1574455618,6
1574455619,6
1574455620,6
1574455621,6
1574455622,6
1574455623,6
1574455624,6
1574455625,6
1574455626,6
1574455627,6
1574455628,6
1574455629,6
1574455630,6
1574455631,6
1574455632,6
1574455633,6
1574455634,6
1574455635,6
1574455636,6
1574455637,6
1574455638,6
1574455639,6
1574455640,6
1574455641,6
1574455642,6
1574455643,6
1574455644,6
1574455645,6
1574455646,6
1574455647,6
1574455648,6
1574455649,6
1574455650,6
1574455651,6
1574455652,6
1574455653,6
1574455654,6
1574455655,6
1574455656,6
1574455657,6
1574455658,6
1574455659,6
1574455660,6
1574455661,6
1574455662,6
1574455663,6
1574455664,6
1574455665,6
1574455666,6
1574455667,6
1574455668,6
1574455669,6
1574455670,6
1574455671,6
1574455672,6
1574455673,6
1574455674,6
1574455675,6
1574455676,6
1574455677,6
1574455678,6
1574455679,6
1574455680,6
1574455681,6
1574455682,6
1574455683,6
1574455684,6
1574455685,6
1574455686,6
1574455687,6
1574455688,6
1574455689,6
1574455690,6
1574455691,6
1574455692,6
1574455693,6
1574455694,6
1574455695,6
1574455696,6
1574455697,6
1574455698,6
1574455699,6
1574455700,6
1574455701,6
1574455702,6
1574455703,6
1574455704,6
1574455705,6
1574455706,6
1574455707,6
1574455708,6
1574455709,6
1574455710,6
1574455711,6
1574455712,6
1574455713,6
1574455714,6
1574455715,6
1574455716,6
1574455717,6
1574455718,6
1574455719,6
1574455720,6
1574455721,6
1574455722,6
1574455723,6
1574455724,6
1574455725,6
1574455726,6
1574455727,6
1574455728,6
1574455729,6
1574455730,6
1574455731,6
1574455732,6
1574455733,6
1574455734,6
1574455735,6
1574455736,6
1574455737,6
1574455738,6
1574455739,6
1574455740,6
1574455741,6
1574455742,6
1574455743,6
1574455744,6
1574455745,6
1574455746,6
1574455747,6
1574455748,6
1574455749,6
1574455750,6
1574455751,6
1574455752,6
1574455753,6
1574455754,6
1574455755,6
1574455756,6
1574455757,6
1574455758,6
1574455759,6
1574455760,6
1574455761,6
1574455762,6
