t,value
1574455529,2
1574455530,2
1574455531,2
1574455532,2
1574455533,2
1574455534,2
1574455535,2
1574455536,2
1574455537,2
1574455538,2
1574455539,2
1574455540,3
1574455541,3
1574455542,3
1574455543,3
1574455544,3
1574455545,3
1574455546,3
1574455547,3
1574455548,3
1574455549,3
1574455550,3
1574455551,3
1574455552,3
1574455553,3
1574455554,3
1574455555,3
1574455556,3
1574455557,3
1574455558,3
1574455559,3
1574455560,3
1574455561,3
1574455562,3
1574455563,3
1574455564,3
1574455565,3
1574455566,3
1574455567,3
1574455568,3
1574455569,3
1574455570,3
1574455571,3
1574455572,3
1574455573,3
1574455574,3
1574455575,3
1574455576,3
1574455577,3
1574455578,3
1574455579,3
1574455580,3
1574455581,3
1574455582,3
1574455583,3
1574455584,3
1574455585,3
1574455586,3
1574455587,3
1574455588,3
1574455589,3
1574455590,3
1574455591,3
1574455592,3
1574455593,3
1574455594,3
1574455595,3
1574455596,3
1574455597,3
1574455598,3
1574455599,3
1574455600,3
1574455601,3
1574455602,3
1574455603,3
1574455604,3
1574455605,3
1574455606,3
1574455607,3
1574455608,3
1574455609,3
1574455610,3
1574455611,3
1574455612,3
1574455613,3
1574455614,3
1574455615,3
1574455616,3
1574455617,3
1574455618,3
1574455619,3
1574455620,3
1574455621,3
1574455622,3
1574455623,3
1574455624,3
1574455625,3
1574455626,3
1574455627,3
1574455628,3
1574455629,3
1574455630,3
1574455631,3
1574455632,3
1574455633,3
1574455634,3
1574455635,3
1574455636,3
1574455637,3
1574455638,3
1574455639,3
1574455640,3
1574455641,3
1574455642,3
1574455643,3
1574455644,3
1574455645,3
1574455646,3
1574455647,3
1574455648,3
1574455649,3
1574455650,3
1574455651,3
1574455652,3
1574455653,3
1574455654,3
1574455655,3
1574455656,3
1574455657,3
1574455658,3
1574455659,3
1574455660,3
1574455661,3
1574455662,3
1574455663,3
1574455664,3
1574455665,3
1574455666,3
1574455667,3
1574455668,3
1574455669,3
1574455670,3
1574455671,3
1574455672,3
1574455673,3
1574455674,3
1574455675,3
1574455676,3
1574455677,3
1574455678,3
1574455679,3
1574455680,3
1574455681,3
1574455682,3
1574455683,3
1574455684,3
1574455685,3
1574455686,3
1574455687,3
1574455688,3
1574455689,3
1574455690,3
1574455691,3
1574455692,3
1574455693,3
1574455694,3
1574455695,3
1574455696,3
1574455697,3
1574455698,3
1574455699,3
1574455700,3
1574455701,3
1574455702,3
1574455703,3
1574455704,3
1574455705,3
1574455706,3
1574455707,3
1574455708,3
1574455709,3
1574455710,3
1574455711,3
1574455712,3
1574455713,3
1574455714,3
1574455715,3
1574455716,3
1574455717,3
1574455718,3
1574455719,3
1574455720,3
1574455721,3
1574455722,3
1574455723,3
1574455724,3
1574455725,3
1574455726,3
1574455727,3
1574455728,3
1574455729,3
1574455730,3
1574455731,3
1574455732,3
1574455733,3
1574455734,3
1574455735,3
1574455736,3
1574455737,3
1574455738,3
1574455739,3
1574455740,3
1574455741,3
1574455742,3
1574455743,3
1574455744,3
1574455745,3
1574455746,3
1574455747,3
1574455748,3
1574455749,3
1574455750,3
1574455751,3
1574455752,3
1574455753,3
1574455754,3
1574455755,3
1574455756,3
1574455757,3
1574455758,3
1574455759,3
1574455760,3
1574455761,3
1574455762,3
